cohort,method,horizon,hours,rmse,persistence_rmse,relative_rmse
sepsis,categorical_rssm,4.0,16.0,0.9025506774584452,0.9770339727401732,0.9237659105416433
sepsis,categorical_rssm,5.0,20.0,0.90926065047582,0.9817833304405212,0.926131685356523
sepsis,categorical_rssm,6.0,24.0,0.9226724704106649,0.990959644317627,0.9310898538618245
sepsis,categorical_rssm,7.0,28.0,0.9526994427045187,1.0196088552474976,0.9343773720690789
sepsis,categorical_rssm,8.0,32.0,1.0029704173405964,1.0581557750701904,0.9478476052111199
sepsis,categorical_rssm,9.0,36.0,1.005141297976176,1.0476654767990112,0.9594105372711511
sepsis,categorical_rssm,10.0,40.0,1.0617350339889526,1.073682188987732,0.988872726844763
sepsis,causal_transformer,1.0,4.0,0.85639488697052,0.9596635103225708,0.8923907992319733
sepsis,causal_transformer,2.0,8.0,0.8008167545000712,0.927671492099762,0.8632546772429557
sepsis,causal_transformer,3.0,12.0,0.8863649566968282,0.9942415952682496,0.8914985662591235
sepsis,causal_transformer,4.0,16.0,0.8884629607200623,0.9770339727401732,0.9093470498556911
sepsis,causal_transformer,5.0,20.0,0.9258652130762736,0.9817833304405212,0.9430443402016639
sepsis,causal_transformer,6.0,24.0,0.9806763927141825,0.990959644317627,0.9896229360474861
sepsis,causal_transformer,7.0,28.0,1.0507230361302693,1.0196088552474976,1.0305158009590052
sepsis,causal_transformer,8.0,32.0,1.137456734975179,1.0581557750701904,1.0749426140964247
sepsis,causal_transformer,9.0,36.0,1.2014870246251423,1.0476654767990112,1.1468231522681365
sepsis,causal_transformer,10.0,40.0,1.3132002751032512,1.073682188987732,1.2230809904198345
sepsis,deterministic_grud_point,1.0,4.0,0.8314080635706583,0.9596635103225708,0.8663537319358927
sepsis,deterministic_grud_point,2.0,8.0,0.7990076740582784,0.927671492099762,0.861304546774143
sepsis,deterministic_grud_point,3.0,12.0,0.9071947733561198,0.9942415952682496,0.9124490241341751
sepsis,deterministic_grud_point,4.0,16.0,0.9402304689089457,0.9770339727401732,0.9623313980290685
sepsis,deterministic_grud_point,5.0,20.0,0.9893352190653483,0.9817833304405212,1.0076920114557644
sepsis,deterministic_grud_point,6.0,24.0,1.0398285786310832,0.990959644317627,1.0493147572594719
sepsis,deterministic_grud_point,7.0,28.0,1.0902678171793618,1.0196088552474976,1.069300066950392
sepsis,deterministic_grud_point,8.0,32.0,1.1394222974777222,1.0581557750701904,1.0768001501500486
sepsis,deterministic_grud_point,9.0,36.0,1.1572009325027466,1.0476654767990112,1.1045519377410478
sepsis,deterministic_grud_point,10.0,40.0,1.2170117298762004,1.073682188987732,1.1334934511893129
sepsis,hgb_residual,1.0,4.0,0.8380804061889648,0.9596635103225708,0.8733065258543191
sepsis,hgb_residual,2.0,8.0,0.784805417060852,0.927671492099762,0.8459949710047293
sepsis,hgb_residual,3.0,12.0,0.8644402027130127,0.9942415952682496,0.8694468294497213
sepsis,hgb_residual,4.0,16.0,0.8465825319290161,0.9770339727401732,0.8664821854195149
sepsis,hgb_residual,5.0,20.0,0.8589054346084595,0.9817833304405212,0.8748421448784152
sepsis,hgb_residual,6.0,24.0,0.8832522034645081,0.990959644317627,0.8913099625491954
sepsis,hgb_residual,7.0,28.0,0.9094240069389344,1.0196088552474976,0.891934198353135
sepsis,hgb_residual,8.0,32.0,0.9537112712860109,1.0581557750701904,0.9012957201152624
sepsis,hgb_residual,9.0,36.0,0.9784600138664246,1.0476654767990112,0.9339431674850699
sepsis,hgb_residual,10.0,40.0,1.029728889465332,1.073682188987732,0.9590630263096391
sepsis,matched_gaussian_ensemble,1.0,4.0,0.8392175436019897,0.9596635103225708,0.8744914593240127
sepsis,matched_gaussian_ensemble,2.0,8.0,0.8246137499809265,0.927671492099762,0.888907072173182
sepsis,matched_gaussian_ensemble,3.0,12.0,0.9627034068107604,0.9942415952682496,0.9682791500500639
sepsis,matched_gaussian_ensemble,4.0,16.0,1.0378012657165527,0.9770339727401732,1.0621956806741863
sepsis,matched_gaussian_ensemble,5.0,20.0,1.1111127138137815,0.9817833304405212,1.1317290479104294
sepsis,matched_gaussian_ensemble,6.0,24.0,1.163217067718506,0.990959644317627,1.1738288984709315
sepsis,matched_gaussian_ensemble,7.0,28.0,1.2182224988937378,1.0196088552474976,1.194793957137641
sepsis,matched_gaussian_ensemble,8.0,32.0,1.2557510137557983,1.0581557750701904,1.1867354914473731
sepsis,matched_gaussian_ensemble,9.0,36.0,1.256904125213623,1.0476654767990112,1.1997189494626757
sepsis,matched_gaussian_ensemble,10.0,40.0,1.283048152923584,1.073682188987732,1.1949980786523453
sepsis,persistence_locf,1.0,4.0,0.9596635103225708,0.9596635103225708,1.0
sepsis,persistence_locf,2.0,8.0,0.927671492099762,0.927671492099762,1.0
sepsis,persistence_locf,3.0,12.0,0.9942415952682496,0.9942415952682496,1.0
sepsis,persistence_locf,4.0,16.0,0.9770339727401732,0.9770339727401732,1.0
sepsis,persistence_locf,5.0,20.0,0.9817833304405212,0.9817833304405212,1.0
sepsis,persistence_locf,6.0,24.0,0.990959644317627,0.990959644317627,1.0
sepsis,persistence_locf,7.0,28.0,1.0196088552474976,1.0196088552474976,1.0
sepsis,persistence_locf,8.0,32.0,1.0581557750701904,1.0581557750701904,1.0
sepsis,persistence_locf,9.0,36.0,1.0476654767990112,1.0476654767990112,1.0
sepsis,persistence_locf,10.0,40.0,1.073682188987732,1.073682188987732,1.0
sepsis,single_gaussian_grud,1.0,4.0,0.8421634833017985,0.9596635103225708,0.87756122249425
sepsis,single_gaussian_grud,2.0,8.0,0.8365436792373657,0.927671492099762,0.9017671518005467
sepsis,single_gaussian_grud,3.0,12.0,0.9894814689954122,0.9942415952682496,0.9952123042372281
sepsis,single_gaussian_grud,4.0,16.0,1.081063191095988,0.9770339727401732,1.1064745149690713
sepsis,single_gaussian_grud,5.0,20.0,1.170186956723531,0.9817833304405212,1.1918993941346243
sepsis,single_gaussian_grud,6.0,24.0,1.2383430004119873,0.990959644317627,1.2496401922246876
sepsis,single_gaussian_grud,7.0,28.0,1.3077048858006795,1.0196088552474976,1.2825554417956189
sepsis,single_gaussian_grud,8.0,32.0,1.3576477766036987,1.0581557750701904,1.2830320531149038
sepsis,single_gaussian_grud,9.0,36.0,1.3706133365631104,1.0476654767990112,1.3082547501238841
