task,method_group,method,mean_paired_behavior_relative_return,mean_paired_standard_error,display_method,within_task_rank_percentile,evidence_role
aki,world_model_planner,gaussian_recurrent_ensemble__H8_categorical_CEM__support_constrained,0.12687273999322154,0.010854969856984366,Gaussian ensemble + H8 CEM (support),0.27941176470588236,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
heart_failure,world_model_planner,gaussian_recurrent_ensemble__H8_categorical_CEM__support_constrained,0.016007166913338502,0.0028996847944562,Gaussian ensemble + H8 CEM (support),0.9117647058823529,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
respiratory,world_model_planner,gaussian_recurrent_ensemble__H8_categorical_CEM__support_constrained,0.03471621023875033,0.0027958291489073,Gaussian ensemble + H8 CEM (support),0.45588235294117646,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
shock,world_model_planner,gaussian_recurrent_ensemble__H8_categorical_CEM__support_constrained,0.030278409316362068,0.002688473757162133,Gaussian ensemble + H8 CEM (support),0.45588235294117646,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
aki,world_model_planner,transformer_world_model__H1_exhaustive__support_and_uncertainty_penalized,0.12938234306610263,0.010757885997829867,Transformer + H1 exhaustive (support + uncertainty),0.6911764705882353,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
heart_failure,world_model_planner,transformer_world_model__H1_exhaustive__support_and_uncertainty_penalized,0.0144528560549663,0.0028676995499373,Transformer + H1 exhaustive (support + uncertainty),0.4411764705882353,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
respiratory,world_model_planner,transformer_world_model__H1_exhaustive__support_and_uncertainty_penalized,0.03790767743049744,0.0029276454288852,Transformer + H1 exhaustive (support + uncertainty),0.7941176470588235,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
shock,world_model_planner,transformer_world_model__H1_exhaustive__support_and_uncertainty_penalized,0.0391730966947608,0.0029170363304373667,Transformer + H1 exhaustive (support + uncertainty),0.9411764705882353,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
aki,world_model_planner,transformer_world_model__H1_exhaustive__support_constrained,0.12938234306610263,0.010757885997829867,Transformer + H1 exhaustive (support),0.6911764705882353,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
heart_failure,world_model_planner,transformer_world_model__H1_exhaustive__support_constrained,0.015260125865437365,0.0028443374286341665,Transformer + H1 exhaustive (support),0.7058823529411765,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
respiratory,world_model_planner,transformer_world_model__H1_exhaustive__support_constrained,0.03927130998659376,0.0029100496671584665,Transformer + H1 exhaustive (support),0.8970588235294118,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
shock,world_model_planner,transformer_world_model__H1_exhaustive__support_constrained,0.038361466394141334,0.0029026708131272,Transformer + H1 exhaustive (support),0.8235294117647058,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
aki,world_model_planner,transformer_world_model__H4_categorical_CEM__support_and_uncertainty_penalized,0.12938234306610263,0.010757885997829867,Transformer + H4 CEM (support + uncertainty),0.6911764705882353,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
heart_failure,world_model_planner,transformer_world_model__H4_categorical_CEM__support_and_uncertainty_penalized,0.013136409521847227,0.0027966536344558664,Transformer + H4 CEM (support + uncertainty),0.29411764705882354,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
respiratory,world_model_planner,transformer_world_model__H4_categorical_CEM__support_and_uncertainty_penalized,0.035415890155880904,0.0028755972170512664,Transformer + H4 CEM (support + uncertainty),0.5294117647058824,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
shock,world_model_planner,transformer_world_model__H4_categorical_CEM__support_and_uncertainty_penalized,0.0324406795658318,0.0027605319441880334,Transformer + H4 CEM (support + uncertainty),0.6764705882352942,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
aki,world_model_planner,transformer_world_model__H4_categorical_CEM__support_constrained,0.12715028015660876,0.010858315426307533,Transformer + H4 CEM (support),0.39705882352941174,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
heart_failure,world_model_planner,transformer_world_model__H4_categorical_CEM__support_constrained,0.014373068345121101,0.0028200880698944666,Transformer + H4 CEM (support),0.38235294117647056,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
respiratory,world_model_planner,transformer_world_model__H4_categorical_CEM__support_constrained,0.03661780510513266,0.0029013138354303998,Transformer + H4 CEM (support),0.6617647058823529,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
shock,world_model_planner,transformer_world_model__H4_categorical_CEM__support_constrained,0.032408610897212,0.0027563352209862995,Transformer + H4 CEM (support),0.6029411764705882,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
aki,world_model_planner,transformer_world_model__H8_categorical_CEM__support_and_uncertainty_penalized,0.12938234306610263,0.010757885997829867,Transformer + H8 CEM (support + uncertainty),0.6911764705882353,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
heart_failure,world_model_planner,transformer_world_model__H8_categorical_CEM__support_and_uncertainty_penalized,0.013743721129665867,0.0028072942123777,Transformer + H8 CEM (support + uncertainty),0.35294117647058826,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
respiratory,world_model_planner,transformer_world_model__H8_categorical_CEM__support_and_uncertainty_penalized,0.0345138970467778,0.0027892523070613003,Transformer + H8 CEM (support + uncertainty),0.38235294117647056,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
shock,world_model_planner,transformer_world_model__H8_categorical_CEM__support_and_uncertainty_penalized,0.02860366989385857,0.0026783144844703664,Transformer + H8 CEM (support + uncertainty),0.29411764705882354,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
aki,world_model_planner,transformer_world_model__H8_categorical_CEM__support_constrained,0.12687273999322154,0.010854969856984366,Transformer + H8 CEM (support),0.27941176470588236,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
heart_failure,world_model_planner,transformer_world_model__H8_categorical_CEM__support_constrained,0.0156869691394696,0.0029121588679447002,Transformer + H8 CEM (support),0.7941176470588235,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
respiratory,world_model_planner,transformer_world_model__H8_categorical_CEM__support_constrained,0.03471621023875033,0.0027958291489073,Transformer + H8 CEM (support),0.45588235294117646,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
shock,world_model_planner,transformer_world_model__H8_categorical_CEM__support_constrained,0.030278409316362068,0.002688473757162133,Transformer + H8 CEM (support),0.45588235294117646,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
aki,world_model_planner,dreamer_v3_categorical_rssm__H1_exhaustive__support_and_uncertainty_penalized,0.12938234306610263,0.010757885997829867,categorical RSSM + H1 exhaustive (support + uncertainty),0.6911764705882353,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
heart_failure,world_model_planner,dreamer_v3_categorical_rssm__H1_exhaustive__support_and_uncertainty_penalized,0.016004258523442397,0.0028603559978099997,categorical RSSM + H1 exhaustive (support + uncertainty),0.8529411764705882,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
respiratory,world_model_planner,dreamer_v3_categorical_rssm__H1_exhaustive__support_and_uncertainty_penalized,0.03790767743049744,0.0029276454288852,categorical RSSM + H1 exhaustive (support + uncertainty),0.7941176470588235,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
shock,world_model_planner,dreamer_v3_categorical_rssm__H1_exhaustive__support_and_uncertainty_penalized,0.0391730966947608,0.0029170363304373667,categorical RSSM + H1 exhaustive (support + uncertainty),0.9411764705882353,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
aki,world_model_planner,dreamer_v3_categorical_rssm__H1_exhaustive__support_constrained,0.12938234306610263,0.010757885997829867,categorical RSSM + H1 exhaustive (support),0.6911764705882353,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
heart_failure,world_model_planner,dreamer_v3_categorical_rssm__H1_exhaustive__support_constrained,0.015260125865437365,0.0028443374286341665,categorical RSSM + H1 exhaustive (support),0.7058823529411765,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
respiratory,world_model_planner,dreamer_v3_categorical_rssm__H1_exhaustive__support_constrained,0.03927130998659376,0.0029100496671584665,categorical RSSM + H1 exhaustive (support),0.8970588235294118,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
shock,world_model_planner,dreamer_v3_categorical_rssm__H1_exhaustive__support_constrained,0.038361466394141334,0.0029026708131272,categorical RSSM + H1 exhaustive (support),0.8235294117647058,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
aki,world_model_planner,dreamer_v3_categorical_rssm__H4_categorical_CEM__support_and_uncertainty_penalized,0.12938234306610263,0.010757885997829867,categorical RSSM + H4 CEM (support + uncertainty),0.6911764705882353,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
heart_failure,world_model_planner,dreamer_v3_categorical_rssm__H4_categorical_CEM__support_and_uncertainty_penalized,0.015196829927910932,0.0028506118115089,categorical RSSM + H4 CEM (support + uncertainty),0.5882352941176471,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
