task,response_regime,reward_variant,method,method_group,seed,true_return,exact_behavior_policy_value,paired_behavior_relative_return_difference,paired_standard_error,unsupported_action_mass,policy_probability_complete,rank_within_task_regime_reward_seed,paired_difference_definition
shock,null,primary_dense_plus_terminal,dreamer_v3_categorical_rssm__H4_categorical_CEM__support_constrained,world_model_planner,3414,0.3706684811884314,0.3634310881968847,0.0,0.0,0.0,True,17.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,null,primary_dense_plus_terminal,dreamer_v3_categorical_rssm__H4_categorical_CEM__support_and_uncertainty_penalized,world_model_planner,3414,0.3706684811884314,0.3634310881968847,0.0,0.0,0.0,True,17.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,null,primary_dense_plus_terminal,dreamer_v3_categorical_rssm__H8_categorical_CEM__support_constrained,world_model_planner,3414,0.3706684811884314,0.3634310881968847,0.0,0.0,0.0,True,17.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,null,primary_dense_plus_terminal,dreamer_v3_categorical_rssm__H8_categorical_CEM__support_and_uncertainty_penalized,world_model_planner,3414,0.3706684811884314,0.3634310881968847,0.0,0.0,0.0,True,17.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,null,primary_dense_plus_terminal,gaussian_recurrent_ensemble__H1_exhaustive__support_constrained,world_model_planner,3414,0.3706684811884314,0.3634310881968847,0.0,0.0,0.0,True,17.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,null,primary_dense_plus_terminal,gaussian_recurrent_ensemble__H1_exhaustive__support_and_uncertainty_penalized,world_model_planner,3414,0.3706684811884314,0.3634310881968847,0.0,0.0,0.0,True,17.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,null,primary_dense_plus_terminal,gaussian_recurrent_ensemble__H4_categorical_CEM__support_constrained,world_model_planner,3414,0.3706684811884314,0.3634310881968847,0.0,0.0,0.0,True,17.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,null,primary_dense_plus_terminal,gaussian_recurrent_ensemble__H4_categorical_CEM__support_and_uncertainty_penalized,world_model_planner,3414,0.3706684811884314,0.3634310881968847,0.0,0.0,0.0,True,17.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,null,primary_dense_plus_terminal,gaussian_recurrent_ensemble__H8_categorical_CEM__support_constrained,world_model_planner,3414,0.3706684811884314,0.3634310881968847,0.0,0.0,0.0,True,17.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,null,primary_dense_plus_terminal,gaussian_recurrent_ensemble__H8_categorical_CEM__support_and_uncertainty_penalized,world_model_planner,3414,0.3706684811884314,0.3634310881968847,0.0,0.0,0.0,True,17.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
